Parametry projektu;ELTEP - tispl - [magna_glt.tispl]
Požadované celkové množství;200
Poèet pracovních dní [rok];365
Poèet pracovních hodin [den];8
Efektivita [%];95
Zaèátek výroby;15.11.2017 8:00:00
Délka vozíku;2

Pøehled pohonù;
ID;Název;Rychlost od [m/min];Rychlost do [m/min];Rozteè palcù [cm];
1;Hlavní dopravník;1,5;10,5;32,5;
2;automaticky vygenerovaný pohon 1;1;1;32,5;
3;automaticky vygenerovaný pohon 1;1,5;1,5;32,5;


